x,y,delta_e,terrain_classification,waterlogging_risk_index,alphaearth_similarity
0,0,0.07879,Active Excavation / Bench Cut,0.5003,0.2621
1,0,0.07893,Active Excavation / Bench Cut,0.4879,0.1867
2,0,0.06522,Active Excavation / Bench Cut,0.5136,0.1311
3,0,0.05492,Active Excavation / Bench Cut,0.476,0.0475
4,0,0.07362,Active Excavation / Bench Cut,0.4653,0.2192
5,0,0.06414,Active Excavation / Bench Cut,0.4681,0.1566
6,0,0.05603,Active Excavation / Bench Cut,0.4734,0.2444
7,0,0.07955,Active Excavation / Bench Cut,0.5264,0.109
8,0,0.06616,Active Excavation / Bench Cut,0.4827,0.3541
9,0,0.07723,Active Excavation / Bench Cut,0.4867,0.2067
10,0,0.06752,Active Excavation / Bench Cut,0.4964,0.2923
11,0,0.07079,Active Excavation / Bench Cut,0.4638,0.4203
12,0,0.07802,Active Excavation / Bench Cut,0.4555,0.4499
13,0,0.05376,Active Excavation / Bench Cut,0.4563,0.4835
14,0,0.07327,Active Excavation / Bench Cut,0.4649,0.3479
15,0,0.07792,Active Excavation / Bench Cut,0.4249,0.4652
16,0,0.08208,Active Excavation / Bench Cut,0.4208,0.3217
17,0,0.09573,Active Excavation / Bench Cut,0.461,0.4438
18,0,0.08908,Active Excavation / Bench Cut,0.4876,0.2856
19,0,0.068,Active Excavation / Bench Cut,0.4663,0.2059
20,0,0.06432,Active Excavation / Bench Cut,0.4802,0.181
21,0,0.05172,Active Excavation / Bench Cut,0.5074,0.2472
22,0,0.06891,Active Excavation / Bench Cut,0.4976,0.0
23,0,0.06322,Active Excavation / Bench Cut,0.5075,0.2538
24,0,0.06403,Active Excavation / Bench Cut,0.5381,0.1816
25,0,0.06823,Active Excavation / Bench Cut,0.5305,0.0116
26,0,0.06486,Active Excavation / Bench Cut,0.5318,0.1686
27,0,0.07367,Active Excavation / Bench Cut,0.5621,0.0985
28,0,0.07222,Active Excavation / Bench Cut,0.5287,0.111
29,0,0.09748,Active Excavation / Bench Cut,0.5705,0.0
0,1,0.07492,Active Excavation / Bench Cut,0.4897,0.1845
1,1,0.06063,Active Excavation / Bench Cut,0.5203,0.1982
2,1,0.0607,Active Excavation / Bench Cut,0.5328,0.1942
3,1,0.06619,Active Excavation / Bench Cut,0.4863,0.2371
4,1,0.07374,Active Excavation / Bench Cut,0.5424,0.3118
5,1,0.0742,Active Excavation / Bench Cut,0.476,0.2349
6,1,0.08072,Active Excavation / Bench Cut,0.4837,0.2931
7,1,0.06959,Active Excavation / Bench Cut,0.439,0.3755
8,1,0.08241,Active Excavation / Bench Cut,0.4726,0.1635
9,1,0.06644,Active Excavation / Bench Cut,0.4596,0.154
10,1,0.08742,Active Excavation / Bench Cut,0.4649,0.2674
11,1,0.08324,Active Excavation / Bench Cut,0.4274,0.2656
12,1,0.07095,Active Excavation / Bench Cut,0.5096,0.3542
13,1,0.08711,Active Excavation / Bench Cut,0.4612,0.4479
14,1,0.05636,Active Excavation / Bench Cut,0.3789,0.5586
15,1,0.06495,Active Excavation / Bench Cut,0.4497,0.4962
16,1,0.06669,Active Excavation / Bench Cut,0.4327,0.4007
17,1,0.04655,Overburden / Dump Movement,0.4416,0.5237
18,1,0.08172,Active Excavation / Bench Cut,0.4078,0.4223
19,1,0.0697,Active Excavation / Bench Cut,0.4572,0.34
20,1,0.06656,Active Excavation / Bench Cut,0.4648,0.2728
21,1,0.08109,Active Excavation / Bench Cut,0.4973,0.2489
22,1,0.07998,Active Excavation / Bench Cut,0.5365,0.2803
23,1,0.06739,Active Excavation / Bench Cut,0.4959,0.1807
24,1,0.09997,Active Excavation / Bench Cut,0.5341,0.1691
25,1,0.06507,Active Excavation / Bench Cut,0.5075,0.153
26,1,0.07447,Active Excavation / Bench Cut,0.5564,0.1637
27,1,0.06075,Active Excavation / Bench Cut,0.5438,0.1719
28,1,0.08401,Active Excavation / Bench Cut,0.5275,0.1126
29,1,0.07897,Active Excavation / Bench Cut,0.5011,0.0797
0,2,0.08588,Active Excavation / Bench Cut,0.5292,0.1202
1,2,0.05005,Active Excavation / Bench Cut,0.5435,0.128
2,2,0.07838,Active Excavation / Bench Cut,0.5007,0.3803
3,2,0.05114,Active Excavation / Bench Cut,0.4815,0.144
4,2,0.06741,Active Excavation / Bench Cut,0.4377,0.3304
5,2,0.08221,Active Excavation / Bench Cut,0.4955,0.4063
6,2,0.06831,Active Excavation / Bench Cut,0.4718,0.4014
7,2,0.05716,Active Excavation / Bench Cut,0.4998,0.4715
8,2,0.05264,Active Excavation / Bench Cut,0.4259,0.111
9,2,0.09661,Active Excavation / Bench Cut,0.4986,0.2801
10,2,0.06904,Active Excavation / Bench Cut,0.4615,0.4063
11,2,0.06072,Active Excavation / Bench Cut,0.4766,0.3545
12,2,0.07265,Active Excavation / Bench Cut,0.3901,0.2715
13,2,0.08222,Active Excavation / Bench Cut,0.3896,0.5703
14,2,0.10822,Active Excavation / Bench Cut,0.3731,0.5639
15,2,0.05039,Active Excavation / Bench Cut,0.4138,0.5475
16,2,0.05487,Active Excavation / Bench Cut,0.4469,0.5861
17,2,0.07522,Active Excavation / Bench Cut,0.406,0.5577
18,2,0.06838,Active Excavation / Bench Cut,0.4226,0.36
19,2,0.08593,Active Excavation / Bench Cut,0.4515,0.3578
20,2,0.11517,Active Excavation / Bench Cut,0.492,0.3467
21,2,0.06343,Active Excavation / Bench Cut,0.4471,0.2306
22,2,0.07223,Active Excavation / Bench Cut,0.4666,0.2274
23,2,0.06064,Active Excavation / Bench Cut,0.5034,0.1985
24,2,0.07737,Active Excavation / Bench Cut,0.5036,0.3784
25,2,0.08087,Active Excavation / Bench Cut,0.5465,0.1585
26,2,0.05876,Active Excavation / Bench Cut,0.5284,0.2299
27,2,0.08637,Active Excavation / Bench Cut,0.5248,0.1152
28,2,0.08911,Active Excavation / Bench Cut,0.5657,0.061
29,2,0.09253,Active Excavation / Bench Cut,0.5371,0.2284
0,3,0.0807,Active Excavation / Bench Cut,0.4793,0.3009
1,3,0.07023,Active Excavation / Bench Cut,0.5177,0.3095
2,3,0.08836,Active Excavation / Bench Cut,0.4864,0.3291
3,3,0.07977,Active Excavation / Bench Cut,0.4363,0.3034
4,3,0.06328,Active Excavation / Bench Cut,0.4596,0.3527
5,3,0.06984,Active Excavation / Bench Cut,0.484,0.2605
6,3,0.05636,Active Excavation / Bench Cut,0.4918,0.456
7,3,0.075,Active Excavation / Bench Cut,0.4113,0.4167
8,3,0.0574,Active Excavation / Bench Cut,0.4348,0.5298
9,3,0.08595,Active Excavation / Bench Cut,0.4064,0.2542
10,3,0.06226,Active Excavation / Bench Cut,0.4687,0.3784
11,3,0.07844,Active Excavation / Bench Cut,0.4337,0.4204
12,3,0.10022,Active Excavation / Bench Cut,0.3858,0.4285
13,3,0.08222,Active Excavation / Bench Cut,0.4111,0.5743
14,3,0.07225,Active Excavation / Bench Cut,0.334,0.5542
15,3,0.06275,Active Excavation / Bench Cut,0.3313,0.6701
16,3,0.07843,Active Excavation / Bench Cut,0.3356,0.6196
17,3,0.10687,Active Excavation / Bench Cut,0.3896,0.6003
18,3,0.07711,Active Excavation / Bench Cut,0.435,0.5431
19,3,0.05367,Active Excavation / Bench Cut,0.419,0.2314
20,3,0.0823,Active Excavation / Bench Cut,0.4803,0.4208
21,3,0.06776,Active Excavation / Bench Cut,0.5173,0.3484
22,3,0.05777,Active Excavation / Bench Cut,0.4682,0.407
23,3,0.06586,Active Excavation / Bench Cut,0.4677,0.1173
24,3,0.0807,Active Excavation / Bench Cut,0.5269,0.2479
25,3,0.05839,Active Excavation / Bench Cut,0.5039,0.2586
26,3,0.08069,Active Excavation / Bench Cut,0.5243,0.2209
27,3,0.06591,Active Excavation / Bench Cut,0.5016,0.105
28,3,0.10102,Active Excavation / Bench Cut,0.5753,0.0
29,3,0.0547,Active Excavation / Bench Cut,0.554,0.0449
0,4,0.0527,Active Excavation / Bench Cut,0.4921,0.2526
1,4,0.0637,Active Excavation / Bench Cut,0.4884,0.2772
2,4,0.06052,Active Excavation / Bench Cut,0.495,0.3948
3,4,0.05645,Active Excavation / Bench Cut,0.4953,0.2875
4,4,0.07116,Active Excavation / Bench Cut,0.4513,0.3589
5,4,0.06578,Active Excavation / Bench Cut,0.461,0.5154
