month,rainfall_mm,downtime_hours,production_tons
1,4.6,24.0,3777.0
2,12.6,25.0,3607.0
3,9.0,21.0,3756.0
4,1.5,26.0,3759.0
5,80.3,24.0,3541.0
6,227.4,23.0,3110.0
7,282.4,16.0,3019.0
8,132.7,18.0,3506.0
9,343.5,24.0,2865.0
10,39.7,21.0,3648.0
11,7.2,59.0,3386.0
12,28.5,22.0,3634.0
13,34.4,29.0,3616.0
14,12.9,20.0,3766.0
15,1.2,23.0,3735.0
16,0.6,17.0,3733.0
17,7.4,22.0,3756.0
18,159.6,15.0,3419.0
19,505.3,19.0,2392.0
20,484.2,25.0,2292.0
21,306.0,21.0,2873.0
22,87.1,31.0,3398.0
23,0.0,60.0,3517.0
24,1.9,15.0,3789.0
25,0.9,17.0,3919.0
26,0.0,21.0,3653.0
27,36.6,18.0,3710.0
28,78.9,12.0,3697.0
29,31.6,22.0,3748.0
30,243.9,15.0,3418.0
31,392.8,57.0,2401.0
32,254.8,27.0,2919.0
33,311.7,25.0,2855.0
34,5.0,18.0,3663.0
35,30.0,12.0,3806.0
36,19.5,12.0,3762.0
