month,year_month,rainfall_mm
1,2021-01,4.6
2,2021-02,12.6
3,2021-03,9.0
4,2021-04,1.5
5,2021-05,80.3
6,2021-06,227.4
7,2021-07,282.4
8,2021-08,132.7
9,2021-09,343.5
10,2021-10,39.7
11,2021-11,7.2
12,2021-12,28.5
13,2022-01,34.4
14,2022-02,12.9
15,2022-03,1.2
16,2022-04,0.6
17,2022-05,7.4
18,2022-06,159.6
19,2022-07,505.3
20,2022-08,484.2
21,2022-09,306.0
22,2022-10,87.1
23,2022-11,0.0
24,2022-12,1.9
25,2023-01,0.9
26,2023-02,0.0
27,2023-03,36.6
28,2023-04,78.9
29,2023-05,31.6
30,2023-06,243.9
31,2023-07,392.8
32,2023-08,254.8
33,2023-09,311.7
34,2023-10,5.0
35,2023-11,30.0
36,2023-12,19.5
